content,value
姜文的侠隐也变成了2019贾樟柯的江湖儿女2019陈冲的英格力士2019好在还有娄烨的地狱恋人，今年的年度期待就是这部了吧。还有张艺谋的影，看了剧照很棒，但主演是邓超孙俪吴磊，或许可以期待一下？ ?,OOOBIOOOOOOOOOOOOBIIIOOOOOOOBIIIOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOBOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
嘿嘿。。。我是一只不止做网红的泰迪熊二很多二岁的男见你，但是身高不达标啊、顶！感觉这样的说出真心话，以暖心萌宠就是好，实属强大。必须点赞去他的中年位置，我们青春我们充满无限了，确实够给力的 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
"Iron & WineFlightless Bird, American Mouth(暮光之城4：破晓(上)电影插曲) 网页链接 @QQ音乐 分享给我亲爱的朋友们一首舒缓的歌歌（日常做作） ?",OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#晚安# #新年快乐# 神秘巨星定档0119 每看一部阿米尔·汗电影，对他的花痴就增加一分，新的一年，新的米叔，神秘巨星锁定1月19号，你的电影票准备好了吗？ ? ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOO
我没太多承诺、越久越好；风景也不向眼睛说出它的永恒。其实男人也一样。没有甜言蜜语、--堕落天使：人家说女人是水做的……我很晚才得到了我的初恋、当然……我不知能停留多久[lxhx躺中枪] ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
相比前任1跟前任2觉得前任3更细腻更戳心窝,OOBIIOBIOOOBIIOOOOOOO
在电影院看到更多的是女生一个人,OOOOOOOOOOOOOOO
或许都是有故事的人吧,OOOOOOOOOO
也有带着男朋友一起去看的 ,OOOOOOOOOOOOO
看电影的时候我就在想这些一个人来看电影的女孩子是什么样子的心情经历过什么样的事情呢 ,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
有泪点的时候她们又在想什么呢 ,OOOOOOOOOOOOOOO
那些带着男朋友一起去看电影的女生跟男生是不是都在 ?,OOOOOOOOOOOOOOOOOOOOOOOOOO
#一个人的课堂100位代言名人请大家看电影# 我是演员蔡明宇，我为@李军林导演的微博  电影一个人的课堂代言，转发我这条微博，截屏私信给@一个人的课堂官博 ，在浙江省杭州市杭州剑桥时代影城，时间1月18日，中午12：10场次。有10张免费电影票等您拿！先到先得，欢迎大家关注，我们将于各个城市 ?...全文,OBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
aini92#罗晋三生三世十里桃花##罗晋折颜##罗晋电影追踪#?#罗晋王栋#十年前，两男犯下罪行，得手后各奔前程，相约永不再见。十年后，两人再度相遇。在新的决逐中，让我们一起与王栋开启追·踪脚步，解读犯罪题材电影新概念。@罗晋http://t.cn/Ro2dvAq??[闭嘴] ?,OOOOOOOOOBIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
//@慧_wu:吴亦凡2017年全面开花，英文单曲deserve登顶美国iTunes总榜，为Burberry写的B.M.登上第二，主演的西游伏妖票房成绩亮眼，五大男刊五大女刊首位满贯，现已建成五个不凡荣誉球场…感谢大家对亦凡的关注与陪伴，今晚微博之夜为吴亦凡打call ！ 查看图片,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
